split,filename,valid_pixels,void_pixels,unknown_nonvoid_pixels,ignored_pixels_total,total_pixels,valid_fraction,pixels_sky,contains_sky,pixels_building,contains_building,pixels_pole,contains_pole,pixels_road,contains_road,pixels_pavement,contains_pavement,pixels_tree,contains_tree,pixels_signsymbol,contains_signsymbol,pixels_fence,contains_fence,pixels_car,contains_car,pixels_pedestrian,contains_pedestrian,pixels_bicyclist,contains_bicyclist
train,0001TP_010290.png,648291,42909,0,42909,691200,0.9379210069444445,90588,1,162506,1,20794,1,114266,1,66301,1,149160,1,7698,1,12658,1,23297,1,1023,1,0,0
train,0001TP_010320.png,646755,44445,0,44445,691200,0.9356987847222222,87206,1,172548,1,4137,1,123730,1,45104,1,147769,1,196,1,10740,1,53383,1,1942,1,0,0
train,0001TP_010350.png,651139,40061,0,40061,691200,0.9420413773148149,76972,1,157463,1,1942,1,153871,1,36298,1,116840,1,218,1,11554,1,92764,1,3217,1,0,0
train,0001TP_010380.png,648991,42209,0,42209,691200,0.938933738425926,101343,1,194191,1,2528,1,96175,1,36283,1,114410,1,377,1,13269,1,83357,1,7058,1,0,0
train,0006R0_f00930.png,654322,36878,0,36878,691200,0.946646412037037,218982,1,3537,1,7123,1,278495,1,21670,1,111239,1,3274,1,0,0,10002,1,0,0,0,0
train,0006R0_f00960.png,640627,50573,0,50573,691200,0.9268330439814815,220712,1,3851,1,6634,1,246910,1,62524,1,87186,1,1083,1,0,0,11678,1,49,1,0,0
train,0006R0_f01110.png,658845,32355,0,32355,691200,0.9531901041666667,215990,1,6625,1,2301,1,267085,1,8039,1,124132,1,5596,1,9063,1,20014,1,0,0,0,0
train,0006R0_f01140.png,654873,36327,0,36327,691200,0.9474435763888889,181327,1,6858,1,2026,1,291852,1,11028,1,131040,1,1183,1,16762,1,12797,1,0,0,0,0
train,0006R0_f01170.png,650796,40404,0,40404,691200,0.9415451388888889,139581,1,6525,1,3483,1,271609,1,9296,1,180730,1,0,0,26316,1,13256,1,0,0,0,0
train,0006R0_f01200.png,680817,10383,0,10383,691200,0.9849782986111111,111601,1,0,0,2885,1,246327,1,10386,1,224024,1,0,0,67805,1,17789,1,0,0,0,0
train,0006R0_f01230.png,674112,17088,0,17088,691200,0.9752777777777778,135163,1,8023,1,2404,1,256595,1,11423,1,209885,1,45,1,42774,1,7800,1,0,0,0,0
train,0006R0_f01260.png,678675,12525,0,12525,691200,0.9818793402777778,145074,1,7884,1,2658,1,253219,1,4194,1,243154,1,1126,1,15460,1,5673,1,0,0,233,1
train,0006R0_f01410.png,671386,19814,0,19814,691200,0.971333912037037,147579,1,1967,1,2672,1,304334,1,8967,1,193835,1,230,1,0,0,11399,1,403,1,0,0
train,0006R0_f01440.png,676001,15199,0,15199,691200,0.9780107060185185,191222,1,15480,1,5578,1,305339,1,10769,1,141218,1,2276,1,3829,1,197,1,93,1,0,0
train,0006R0_f01470.png,662285,28915,0,28915,691200,0.9581669560185185,239469,1,26898,1,6159,1,266848,1,26757,1,79473,1,9150,1,6878,1,566,1,87,1,0,0
train,0006R0_f01500.png,686305,4895,0,4895,691200,0.992918113425926,241692,1,31004,1,7374,1,241940,1,23092,1,116905,1,19931,1,3021,1,1346,1,0,0,0,0
train,0006R0_f01530.png,681575,9625,0,9625,691200,0.9860749421296297,187523,1,47961,1,9047,1,255791,1,23381,1,123750,1,26143,1,0,0,7979,1,0,0,0,0
train,0006R0_f01560.png,684260,6940,0,6940,691200,0.9899594907407407,235115,1,60162,1,7142,1,278784,1,11160,1,81117,1,2814,1,0,0,7966,1,0,0,0,0
train,0006R0_f01710.png,672832,18368,0,18368,691200,0.9734259259259259,168055,1,28523,1,4311,1,257375,1,44199,1,151004,1,10135,1,0,0,9230,1,0,0,0,0
train,0006R0_f01740.png,674132,17068,0,17068,691200,0.975306712962963,128905,1,40885,1,5989,1,282059,1,19335,1,175458,1,12910,1,0,0,8591,1,0,0,0,0
train,0006R0_f01770.png,667845,23355,0,23355,691200,0.9662109375,86556,1,49129,1,11288,1,244460,1,16044,1,211779,1,36458,1,0,0,12131,1,0,0,0,0
train,0006R0_f01800.png,660039,31161,0,31161,691200,0.9549175347222222,116959,1,32812,1,13192,1,199924,1,1642,1,150418,1,111158,1,0,0,33934,1,0,0,0,0
train,0006R0_f01830.png,665834,25366,0,25366,691200,0.9633015046296296,188556,1,5297,1,19093,1,193133,1,0,0,142245,1,90125,1,0,0,27385,1,0,0,0,0
train,0006R0_f01860.png,666118,25082,0,25082,691200,0.9637123842592593,187480,1,29592,1,16070,1,197302,1,3887,1,127457,1,83431,1,0,0,20899,1,0,0,0,0
train,0006R0_f02010.png,672177,19023,0,19023,691200,0.9724782986111111,98463,1,82365,1,19689,1,178201,1,50513,1,189600,1,11104,1,761,1,41481,1,0,0,0,0
train,0006R0_f02040.png,680057,11143,0,11143,691200,0.9838787615740741,129951,1,40008,1,17082,1,247145,1,38891,1,146369,1,34698,1,895,1,25018,1,0,0,0,0
train,0006R0_f02070.png,685365,5835,0,5835,691200,0.9915581597222223,166206,1,17594,1,18256,1,281930,1,7123,1,110914,1,50643,1,1040,1,31659,1,0,0,0,0
train,0006R0_f02100.png,676288,14912,0,14912,691200,0.9784259259259259,206978,1,21239,1,8786,1,252174,1,0,0,72208,1,29213,1,0,0,83013,1,2677,1,0,0
train,0006R0_f02130.png,682866,8334,0,8334,691200,0.9879427083333333,191463,1,34098,1,80,1,271844,1,0,0,85135,1,230,1,0,0,94317,1,5699,1,0,0
train,0006R0_f02160.png,682362,8838,0,8838,691200,0.9872135416666666,160387,1,33522,1,110,1,241107,1,0,0,116125,1,535,1,0,0,122166,1,8410,1,0,0
train,0006R0_f02310.png,682076,9124,0,9124,691200,0.9867997685185185,85891,1,44700,1,134,1,249634,1,0,0,203450,1,198,1,0,0,97160,1,909,1,0,0
train,0006R0_f02340.png,685738,5462,0,5462,691200,0.9920978009259259,64015,1,46519,1,79,1,250800,1,0,0,228872,1,194,1,0,0,93295,1,1964,1,0,0
train,0006R0_f02370.png,683385,7815,0,7815,691200,0.9886935763888889,81155,1,47252,1,159,1,250024,1,0,0,211919,1,205,1,0,0,91954,1,717,1,0,0
train,0006R0_f02400.png,683623,7577,0,7577,691200,0.9890379050925926,88119,1,45853,1,280,1,244904,1,0,0,203141,1,184,1,0,0,98658,1,2484,1,0,0
train,0006R0_f02430.png,683791,7409,0,7409,691200,0.9892809606481482,83685,1,53822,1,810,1,233666,1,0,0,198804,1,313,1,0,0,110030,1,2661,1,0,0
train,0006R0_f02460.png,683485,7715,0,7715,691200,0.9888382523148148,78855,1,64715,1,1061,1,235873,1,0,0,192815,1,512,1,0,0,108135,1,1519,1,0,0
train,0006R0_f02610.png,689111,2089,0,2089,691200,0.9969777199074074,130762,1,72890,1,1612,1,244479,1,0,0,117716,1,1660,1,0,0,114740,1,5252,1,0,0
train,0006R0_f02640.png,688754,2446,0,2446,691200,0.9964612268518519,130070,1,82329,1,2189,1,242895,1,1223,1,107318,1,2187,1,0,0,102116,1,18427,1,0,0
train,0006R0_f02670.png,689033,2167,0,2167,691200,0.9968648726851852,130061,1,89428,1,1870,1,239509,1,1835,1,112997,1,2001,1,0,0,110067,1,1265,1,0,0
train,0006R0_f02700.png,688566,2634,0,2634,691200,0.9961892361111111,132704,1,105450,1,2147,1,244290,1,2589,1,89110,1,2872,1,0,0,107988,1,1416,1,0,0
train,0006R0_f02730.png,687912,3288,0,3288,691200,0.9952430555555556,133418,1,111560,1,2707,1,249737,1,2663,1,79051,1,2459,1,0,0,103593,1,2724,1,0,0
train,0006R0_f02760.png,687815,3385,0,3385,691200,0.9951027199074074,130525,1,120064,1,2925,1,257695,1,1642,1,64494,1,2520,1,0,0,105647,1,2303,1,0,0
train,0006R0_f02910.png,688875,2325,0,2325,691200,0.9966362847222222,129787,1,225073,1,3012,1,236654,1,14985,1,18802,1,0,0,0,0,54300,1,6262,1,0,0
train,0006R0_f02940.png,688633,2567,0,2567,691200,0.9962861689814815,124360,1,251273,1,3177,1,246273,1,23337,1,7658,1,0,0,0,0,22335,1,10220,1,0,0
train,0006R0_f02970.png,688309,2891,0,2891,691200,0.9958174189814815,90331,1,291452,1,4418,1,246223,1,30698,1,4911,1,0,0,0,0,19387,1,889,1,0,0
train,0006R0_f03000.png,688017,3183,0,3183,691200,0.9953949652777778,56853,1,345294,1,4635,1,220142,1,41141,1,1768,1,0,0,0,0,16672,1,1512,1,0,0
train,0006R0_f03030.png,691092,108,0,108,691200,0.99984375,13097,1,412736,1,5731,1,196657,1,50297,1,0,0,0,0,0,0,12574,1,0,0,0,0
train,0006R0_f03060.png,691147,53,0,53,691200,0.9999233217592592,3156,1,433619,1,5652,1,184286,1,60362,1,0,0,0,0,0,0,4072,1,0,0,0,0
train,0006R0_f03210.png,674912,16288,0,16288,691200,0.9764351851851852,126656,1,121625,1,13473,1,261951,1,16873,1,76495,1,5791,1,510,1,49731,1,1807,1,0,0
train,0006R0_f03240.png,673457,17743,0,17743,691200,0.974330150462963,131375,1,98284,1,14747,1,258383,1,13892,1,80418,1,10432,1,259,1,63399,1,2268,1,0,0
train,0006R0_f03270.png,674298,16902,0,16902,691200,0.975546875,129642,1,89153,1,21057,1,268442,1,6842,1,77709,1,16372,1,773,1,61705,1,2603,1,0,0
train,0006R0_f03300.png,677377,13823,0,13823,691200,0.9800014467592593,126398,1,82866,1,13754,1,269787,1,3298,1,86092,1,15923,1,424,1,75159,1,3676,1,0,0
train,0006R0_f03330.png,676397,14803,0,14803,691200,0.9785836226851852,124865,1,87045,1,7193,1,278297,1,4957,1,94547,1,6189,1,865,1,68710,1,3569,1,160,1
train,0006R0_f03360.png,677959,13241,0,13241,691200,0.9808434606481482,125071,1,91418,1,8380,1,283051,1,7216,1,99991,1,7472,1,1541,1,51339,1,2271,1,209,1
train,0006R0_f03510.png,672408,18792,0,18792,691200,0.9728125,148548,1,44614,1,17323,1,242317,1,3932,1,114660,1,11458,1,3514,1,82605,1,1283,1,2154,1
train,0006R0_f03540.png,676076,15124,0,15124,691200,0.978119212962963,147678,1,44623,1,25718,1,243654,1,9010,1,105861,1,14971,1,5725,1,74213,1,542,1,4081,1
train,0006R0_f03570.png,671799,19401,0,19401,691200,0.9719314236111111,131866,1,45739,1,8522,1,300247,1,22650,1,116005,1,10276,1,5978,1,23069,1,625,1,6822,1
train,0006R0_f03600.png,672882,18318,0,18318,691200,0.9734982638888889,128763,1,46431,1,11917,1,296502,1,32169,1,106209,1,14011,1,6813,1,28952,1,700,1,415,1
train,0006R0_f03630.png,670530,20670,0,20670,691200,0.9700954861111111,158781,1,41659,1,11992,1,251863,1,37200,1,107847,1,19923,1,8100,1,32369,1,796,1,0,0
train,0006R0_f03660.png,668086,23114,0,23114,691200,0.9665596064814815,165442,1,19074,1,15641,1,235973,1,34988,1,129242,1,28395,1,10998,1,27661,1,672,1,0,0
train,0006R0_f03810.png,660243,30957,0,30957,691200,0.9552126736111111,149316,1,24409,1,15493,1,199604,1,37382,1,165516,1,21994,1,25482,1,15984,1,5063,1,0,0
train,0006R0_f03840.png,673009,18191,0,18191,691200,0.9736820023148148,172579,1,28814,1,11014,1,204716,1,29417,1,104279,1,57449,1,38417,1,24182,1,2142,1,0,0
train,0006R0_f03870.png,685408,5792,0,5792,691200,0.9916203703703703,194588,1,33923,1,14141,1,210823,1,28710,1,86915,1,10267,1,65250,1,37111,1,3680,1,0,0
train,0006R0_f03900.png,683925,7275,0,7275,691200,0.9894748263888888,232351,1,37862,1,16265,1,205520,1,24280,1,46105,1,15378,1,27563,1,72120,1,6481,1,0,0
train,0006R0_f03930.png,685656,5544,0,5544,691200,0.9919791666666666,233466,1,42238,1,15045,1,218629,1,33889,1,49585,1,26363,1,23952,1,42489,1,0,0,0,0
train,0016E5_00390.png,668272,22928,0,22928,691200,0.9668287037037037,167057,1,161835,1,8248,1,223529,1,65674,1,21746,1,6296,1,0,0,4881,1,0,0,9006,1
train,0016E5_00540.png,687442,3758,0,3758,691200,0.9945630787037038,85846,1,249568,1,4549,1,263252,1,20988,1,21238,1,4174,1,32388,1,5439,1,0,0,0,0
train,0016E5_00570.png,674251,16949,0,16949,691200,0.9754788773148149,49592,1,197454,1,3429,1,218467,1,25729,1,88074,1,0,0,85246,1,4505,1,1755,1,0,0
train,0016E5_00600.png,659851,31349,0,31349,691200,0.9546455439814815,114057,1,102252,1,3883,1,204383,1,29544,1,106283,1,0,0,87308,1,8438,1,3703,1,0,0
train,0016E5_00630.png,631694,59506,0,59506,691200,0.9139091435185185,185040,1,49523,1,3377,1,203191,1,45006,1,65334,1,0,0,61479,1,6524,1,1298,1,10922,1
train,0016E5_00660.png,635800,55400,0,55400,691200,0.9198495370370371,223975,1,62234,1,3202,1,200806,1,60855,1,27765,1,113,1,42588,1,10429,1,199,1,3634,1
train,0016E5_00690.png,667380,23820,0,23820,691200,0.9655381944444444,232555,1,81293,1,5590,1,208792,1,64326,1,33993,1,83,1,35305,1,4473,1,970,1,0,0
train,0016E5_00840.png,678930,12270,0,12270,691200,0.9822482638888889,207875,1,69286,1,6920,1,203200,1,70259,1,23516,1,2642,1,33995,1,61237,1,0,0,0,0
train,0016E5_00870.png,687104,4096,0,4096,691200,0.9940740740740741,208266,1,98814,1,5383,1,202454,1,77950,1,45410,1,1631,1,45607,1,1501,1,55,1,33,1
train,0016E5_00901.png,679662,11538,0,11538,691200,0.9833072916666666,199908,1,132231,1,7215,1,210661,1,69649,1,17897,1,3625,1,32012,1,6464,1,0,0,0,0
train,0016E5_00930.png,686418,4782,0,4782,691200,0.9930815972222222,180351,1,114295,1,10538,1,220801,1,74579,1,34920,1,19614,1,25858,1,5329,1,0,0,133,1
train,0016E5_00960.png,685890,5310,0,5310,691200,0.9923177083333333,183999,1,149734,1,10650,1,224150,1,60753,1,21758,1,1074,1,32537,1,1235,1,0,0,0,0
train,0016E5_00990.png,685245,5955,0,5955,691200,0.9913845486111111,167071,1,156925,1,6021,1,238601,1,64152,1,16835,1,864,1,32064,1,2098,1,449,1,165,1
train,0016E5_01140.png,679922,11278,0,11278,691200,0.9836834490740741,176542,1,104312,1,13000,1,208481,1,103064,1,55583,1,3808,1,5945,1,8052,1,975,1,160,1
train,0016E5_01170.png,679822,11378,0,11378,691200,0.9835387731481482,195412,1,97086,1,10049,1,205218,1,104045,1,44385,1,6968,1,4789,1,10644,1,1063,1,163,1
train,0016E5_01200.png,679920,11280,0,11280,691200,0.9836805555555556,200625,1,96539,1,10066,1,186524,1,104581,1,57457,1,3884,1,2944,1,15838,1,1285,1,177,1
train,0016E5_01230.png,675678,15522,0,15522,691200,0.9775434027777777,192194,1,99313,1,10138,1,176571,1,106210,1,62097,1,4513,1,2330,1,20653,1,1475,1,184,1
train,0016E5_01260.png,676373,14827,0,14827,691200,0.978548900462963,186384,1,102429,1,11197,1,177060,1,104752,1,59887,1,4562,1,2268,1,26440,1,1267,1,127,1
train,0016E5_01290.png,673962,17238,0,17238,691200,0.9750607638888888,183102,1,103535,1,10269,1,181955,1,91722,1,58940,1,5578,1,2487,1,34941,1,1305,1,128,1
train,0016E5_01440.png,681435,9765,0,9765,691200,0.9858723958333333,131171,1,122465,1,13217,1,241154,1,39878,1,70850,1,13014,1,8918,1,37335,1,3299,1,134,1
train,0016E5_01470.png,681803,9397,0,9397,691200,0.9864048032407408,116205,1,137263,1,21772,1,245719,1,38134,1,71827,1,10367,1,12963,1,24878,1,2576,1,99,1
train,0016E5_01500.png,685343,5857,0,5857,691200,0.9915263310185185,118527,1,133950,1,4209,1,235931,1,24030,1,92215,1,4455,1,24311,1,41847,1,5700,1,168,1
train,0016E5_01530.png,687979,3221,0,3221,691200,0.995339988425926,106154,1,138994,1,10192,1,216334,1,24856,1,94765,1,7275,1,54394,1,29345,1,5403,1,267,1
train,0016E5_01560.png,687231,3969,0,3969,691200,0.9942578125,104051,1,140665,1,1776,1,206974,1,21580,1,87960,1,2594,1,71720,1,46387,1,3297,1,227,1
train,0016E5_01590.png,685866,5334,0,5334,691200,0.9922829861111111,102921,1,147023,1,2809,1,198121,1,27608,1,64673,1,2232,1,96501,1,38060,1,5677,1,241,1
train,0016E5_01740.png,684312,6888,0,6888,691200,0.9900347222222222,130604,1,152528,1,3149,1,199803,1,85619,1,48842,1,3914,1,42118,1,16302,1,713,1,720,1
train,0016E5_01770.png,680954,10246,0,10246,691200,0.9851765046296296,119908,1,162819,1,4468,1,200033,1,83531,1,54010,1,3884,1,29808,1,20061,1,1016,1,1416,1
train,0016E5_01800.png,682300,8900,0,8900,691200,0.9871238425925926,109531,1,208505,1,8540,1,209560,1,83581,1,40880,1,3505,1,421,1,13414,1,2521,1,1842,1
train,0016E5_01830.png,684706,6494,0,6494,691200,0.9906047453703704,88521,1,221401,1,3727,1,225147,1,69738,1,30580,1,6008,1,2928,1,22192,1,5007,1,9457,1
train,0016E5_01860.png,683599,7601,0,7601,691200,0.9890031828703704,85081,1,193164,1,5848,1,243239,1,39897,1,58418,1,4566,1,11696,1,23089,1,10868,1,7733,1
train,0016E5_01890.png,672065,19135,0,19135,691200,0.972316261574074,67705,1,167969,1,8427,1,234743,1,42428,1,76770,1,8655,1,11831,1,34346,1,1375,1,17816,1
train,0016E5_02040.png,662643,28557,0,28557,691200,0.9586848958333334,73511,1,233012,1,10724,1,228420,1,47133,1,21364,1,14744,1,0,0,15494,1,18241,1,0,0
train,0016E5_02070.png,667737,23463,0,23463,691200,0.9660546875,62163,1,245543,1,8738,1,231217,1,57323,1,34574,1,9128,1,0,0,18002,1,1049,1,0,0
train,0016E5_02100.png,684268,6932,0,6932,691200,0.9899710648148148,70373,1,213644,1,4997,1,220491,1,56472,1,66047,1,3896,1,2162,1,43127,1,3059,1,0,0
train,0016E5_02130.png,666010,25190,0,25190,691200,0.9635561342592592,72166,1,282327,1,2501,1,222274,1,48422,1,6463,1,12505,1,0,0,8693,1,10659,1,0,0
train,0016E5_02160.png,678100,13100,0,13100,691200,0.9810474537037037,94679,1,262780,1,13381,1,198526,1,40694,1,8214,1,20014,1,0,0,35892,1,3920,1,0,0
train,0016E5_02190.png,674835,16365,0,16365,691200,0.9763237847222223,101978,1,261381,1,2712,1,203359,1,54933,1,23481,1,1216,1,0,0,14663,1,11112,1,0,0
train,0016E5_02340.png,673914,17286,0,17286,691200,0.9749913194444444,143200,1,23554,1,11191,1,220144,1,63934,1,141307,1,5977,1,22274,1,40930,1,1027,1,376,1
train,0016E5_02370.png,668343,22857,0,22857,691200,0.9669314236111111,163816,1,50992,1,8708,1,253698,1,56641,1,98394,1,1006,1,19765,1,14805,1,125,1,393,1
train,0016E5_02400.png,610327,80873,0,80873,691200,0.8829962384259259,185936,1,51991,1,7571,1,273839,1,18887,1,32246,1,379,1,6765,1,32713,1,0,0,0,0
train,0016E5_04350.png,686632,4568,0,4568,691200,0.9933912037037037,123850,1,126165,1,6895,1,248602,1,7028,1,52879,1,6444,1,0,0,107773,1,5692,1,1304,1
train,0016E5_04380.png,688392,2808,0,2808,691200,0.9959375,123815,1,108062,1,7358,1,244309,1,4499,1,62872,1,7132,1,0,0,122018,1,7016,1,1311,1
train,0016E5_04410.png,688936,2264,0,2264,691200,0.996724537037037,123363,1,101746,1,7335,1,229412,1,4153,1,61368,1,7506,1,0,0,142803,1,9551,1,1699,1
train,0016E5_04560.png,689845,1355,0,1355,691200,0.9980396412037037,134237,1,137646,1,8179,1,229160,1,6377,1,44323,1,7989,1,0,0,115501,1,4601,1,1832,1
train,0016E5_04590.png,689751,1449,0,1449,691200,0.9979036458333334,135189,1,174315,1,11653,1,223965,1,16985,1,35575,1,9053,1,0,0,75751,1,4920,1,2345,1
train,0016E5_04620.png,689677,1523,0,1523,691200,0.9977965856481481,125494,1,176653,1,8457,1,245290,1,39424,1,53861,1,4452,1,0,0,25907,1,9823,1,316,1
train,0016E5_04650.png,689940,1260,0,1260,691200,0.9981770833333333,120422,1,196799,1,9077,1,263148,1,42501,1,41546,1,4227,1,0,0,5215,1,6651,1,354,1
train,0016E5_04680.png,689382,1818,0,1818,691200,0.9973697916666666,132428,1,200911,1,11787,1,276002,1,15573,1,21765,1,5858,1,0,0,15604,1,9059,1,395,1
train,0016E5_04710.png,689240,1960,0,1960,691200,0.9971643518518518,117644,1,192018,1,14466,1,257697,1,13052,1,22962,1,12898,1,0,0,56287,1,1776,1,440,1
train,0016E5_04860.png,686637,4563,0,4563,691200,0.9933984375,93833,1,224526,1,7625,1,286793,1,16192,1,28602,1,6769,1,0,0,8615,1,4132,1,9550,1
train,0016E5_04890.png,687687,3513,0,3513,691200,0.9949175347222222,96754,1,226304,1,9952,1,280964,1,18108,1,28796,1,6964,1,0,0,11370,1,2999,1,5476,1
train,0016E5_04920.png,686772,4428,0,4428,691200,0.99359375,96342,1,226744,1,7281,1,279228,1,17699,1,27427,1,6936,1,0,0,17942,1,2177,1,4996,1
train,0016E5_04950.png,687797,3403,0,3403,691200,0.9950766782407408,96941,1,226915,1,8065,1,279683,1,17540,1,25749,1,7838,1,0,0,22211,1,2855,1,0,0
train,0016E5_04980.png,687549,3651,0,3651,691200,0.9947178819444444,97172,1,221099,1,8087,1,277865,1,15446,1,28602,1,6778,1,0,0,30006,1,2494,1,0,0
train,0016E5_05010.png,685749,5451,0,5451,691200,0.9921137152777778,97409,1,213671,1,8939,1,264757,1,15675,1,28064,1,7267,1,0,0,47715,1,2252,1,0,0
train,0016E5_05160.png,689781,1419,0,1419,691200,0.9979470486111112,96414,1,210151,1,5669,1,240731,1,5502,1,28212,1,5587,1,0,0,95246,1,741,1,1528,1
train,0016E5_05190.png,689518,1682,0,1682,691200,0.9975665509259259,91417,1,203751,1,7323,1,244679,1,8869,1,28196,1,4224,1,0,0,97738,1,3321,1,0,0
train,0016E5_05220.png,685060,6140,0,6140,691200,0.9911168981481482,84494,1,225578,1,8375,1,285594,1,9910,1,28283,1,5462,1,0,0,35988,1,1376,1,0,0
train,0016E5_05250.png,684131,7069,0,7069,691200,0.9897728587962963,81470,1,219174,1,5592,1,277390,1,5420,1,31260,1,5144,1,0,0,48339,1,2832,1,7510,1
train,0016E5_05280.png,684549,6651,0,6651,691200,0.9903776041666666,76095,1,231754,1,5008,1,298067,1,9488,1,33877,1,6132,1,0,0,16914,1,2206,1,5008,1
train,0016E5_05310.png,683679,7521,0,7521,691200,0.9891189236111111,73973,1,230170,1,6415,1,293223,1,8592,1,33103,1,6208,1,0,0,27362,1,1536,1,3097,1
train,0016E5_05460.png,685596,5604,0,5604,691200,0.9918923611111111,74931,1,233088,1,6372,1,252227,1,8063,1,36099,1,7281,1,0,0,66538,1,997,1,0,0
train,0016E5_05490.png,684013,7187,0,7187,691200,0.9896021412037037,74265,1,221505,1,6447,1,264568,1,3828,1,32730,1,7178,1,0,0,69885,1,2721,1,886,1
train,0016E5_05520.png,685961,5239,0,5239,691200,0.9924204282407407,74707,1,232848,1,7155,1,258232,1,7826,1,36909,1,7201,1,0,0,60142,1,941,1,0,0
train,0016E5_05550.png,684932,6268,0,6268,691200,0.990931712962963,74837,1,221027,1,6410,1,267309,1,4248,1,31378,1,7048,1,0,0,69809,1,2866,1,0,0
train,0016E5_05580.png,687776,3424,0,3424,691200,0.9950462962962963,75717,1,231306,1,4998,1,236436,1,8107,1,36313,1,7433,1,0,0,86774,1,692,1,0,0
train,0016E5_05610.png,682826,8374,0,8374,691200,0.987884837962963,76168,1,219513,1,6483,1,260423,1,4286,1,31105,1,7109,1,0,0,74890,1,2849,1,0,0
train,0016E5_05760.png,691134,66,0,66,691200,0.9999045138888889,0,0,461831,1,0,0,172004,1,50959,1,0,0,0,0,0,0,3805,1,2535,1,0,0
train,0016E5_05790.png,689753,1447,0,1447,691200,0.9979065393518518,27962,1,405798,1,527,1,146294,1,89756,1,0,0,3664,1,0,0,8267,1,7485,1,0,0
